;mean_test_score;param_classifier__C;param_classifier__class_weight;param_feature_processing__nontext_processing__selecting__rng;param_feature_processing__text_processing__vectorization;param_feature_processing__text_processing__vectorization__min_df;param_feature_processing__text_processing__vectorization__ngram_range;param_feature_processing__text_processing__vectorization__stop_words;params;std_test_score
0;0.6610659934015616;100;balanced;[1, 6];"CountVectorizer(analyzer='word', binary=False, decode_error='strict',
        dtype=<class 'numpy.int64'>, encoding='utf-8', input='content',
        lowercase=True, max_df=1.0, max_features=None, min_df=2,
        ngram_range=(1, 1), preprocessor=None, stop_words=None,
        strip_accents=None, token_pattern='(?u)\\b\\w\\w+\\b',
        tokenizer=None, vocabulary=None)";2;(1, 1);;"{'classifier__class_weight': 'balanced', 'feature_processing__text_processing__vectorization__ngram_range': (1, 1), 'feature_processing__text_processing__vectorization__min_df': 2, 'feature_processing__text_processing__vectorization': CountVectorizer(analyzer='word', binary=False, decode_error='strict',
        dtype=<class 'numpy.int64'>, encoding='utf-8', input='content',
        lowercase=True, max_df=1.0, max_features=None, min_df=2,
        ngram_range=(1, 1), preprocessor=None, stop_words=None,
        strip_accents=None, token_pattern='(?u)\\b\\w\\w+\\b',
        tokenizer=None, vocabulary=None), 'feature_processing__text_processing__vectorization__stop_words': None, 'classifier__C': 100, 'feature_processing__nontext_processing__selecting__rng': [1, 6]}";0.022506143580622487
1;0.6605091854493845;100;balanced;[1, 6];"CountVectorizer(analyzer='word', binary=False, decode_error='strict',
        dtype=<class 'numpy.int64'>, encoding='utf-8', input='content',
        lowercase=True, max_df=1.0, max_features=None, min_df=2,
        ngram_range=(1, 1), preprocessor=None, stop_words=None,
        strip_accents=None, token_pattern='(?u)\\b\\w\\w+\\b',
        tokenizer=None, vocabulary=None)";2;(1, 2);;"{'classifier__class_weight': 'balanced', 'feature_processing__text_processing__vectorization__ngram_range': (1, 2), 'feature_processing__text_processing__vectorization__min_df': 2, 'feature_processing__text_processing__vectorization': CountVectorizer(analyzer='word', binary=False, decode_error='strict',
        dtype=<class 'numpy.int64'>, encoding='utf-8', input='content',
        lowercase=True, max_df=1.0, max_features=None, min_df=2,
        ngram_range=(1, 1), preprocessor=None, stop_words=None,
        strip_accents=None, token_pattern='(?u)\\b\\w\\w+\\b',
        tokenizer=None, vocabulary=None), 'feature_processing__text_processing__vectorization__stop_words': None, 'classifier__C': 100, 'feature_processing__nontext_processing__selecting__rng': [1, 6]}";0.01849035335754837
2;0.6585239835623212;100;balanced;[1, 'end'];"CountVectorizer(analyzer='word', binary=False, decode_error='strict',
        dtype=<class 'numpy.int64'>, encoding='utf-8', input='content',
        lowercase=True, max_df=1.0, max_features=None, min_df=2,
        ngram_range=(1, 1), preprocessor=None, stop_words=None,
        strip_accents=None, token_pattern='(?u)\\b\\w\\w+\\b',
        tokenizer=None, vocabulary=None)";2;(1, 1);;"{'classifier__class_weight': 'balanced', 'feature_processing__text_processing__vectorization__ngram_range': (1, 1), 'feature_processing__text_processing__vectorization__min_df': 2, 'feature_processing__text_processing__vectorization': CountVectorizer(analyzer='word', binary=False, decode_error='strict',
        dtype=<class 'numpy.int64'>, encoding='utf-8', input='content',
        lowercase=True, max_df=1.0, max_features=None, min_df=2,
        ngram_range=(1, 1), preprocessor=None, stop_words=None,
        strip_accents=None, token_pattern='(?u)\\b\\w\\w+\\b',
        tokenizer=None, vocabulary=None), 'feature_processing__text_processing__vectorization__stop_words': None, 'classifier__C': 100, 'feature_processing__nontext_processing__selecting__rng': [1, 'end']}";0.02527147317821399
3;0.652697576655831;100;balanced;[7, 'end'];"CountVectorizer(analyzer='word', binary=False, decode_error='strict',
        dtype=<class 'numpy.int64'>, encoding='utf-8', input='content',
        lowercase=True, max_df=1.0, max_features=None, min_df=2,
        ngram_range=(1, 1), preprocessor=None, stop_words=None,
        strip_accents=None, token_pattern='(?u)\\b\\w\\w+\\b',
        tokenizer=None, vocabulary=None)";2;(1, 1);;"{'classifier__class_weight': 'balanced', 'feature_processing__text_processing__vectorization__ngram_range': (1, 1), 'feature_processing__text_processing__vectorization__min_df': 2, 'feature_processing__text_processing__vectorization': CountVectorizer(analyzer='word', binary=False, decode_error='strict',
        dtype=<class 'numpy.int64'>, encoding='utf-8', input='content',
        lowercase=True, max_df=1.0, max_features=None, min_df=2,
        ngram_range=(1, 1), preprocessor=None, stop_words=None,
        strip_accents=None, token_pattern='(?u)\\b\\w\\w+\\b',
        tokenizer=None, vocabulary=None), 'feature_processing__text_processing__vectorization__stop_words': None, 'classifier__C': 100, 'feature_processing__nontext_processing__selecting__rng': [7, 'end']}";0.018843394958863963
4;0.6514921418396954;100;balanced;[1, 'end'];"CountVectorizer(analyzer='word', binary=False, decode_error='strict',
        dtype=<class 'numpy.int64'>, encoding='utf-8', input='content',
        lowercase=True, max_df=1.0, max_features=None, min_df=2,
        ngram_range=(1, 1), preprocessor=None, stop_words=None,
        strip_accents=None, token_pattern='(?u)\\b\\w\\w+\\b',
        tokenizer=None, vocabulary=None)";2;(1, 2);;"{'classifier__class_weight': 'balanced', 'feature_processing__text_processing__vectorization__ngram_range': (1, 2), 'feature_processing__text_processing__vectorization__min_df': 2, 'feature_processing__text_processing__vectorization': CountVectorizer(analyzer='word', binary=False, decode_error='strict',
        dtype=<class 'numpy.int64'>, encoding='utf-8', input='content',
        lowercase=True, max_df=1.0, max_features=None, min_df=2,
        ngram_range=(1, 1), preprocessor=None, stop_words=None,
        strip_accents=None, token_pattern='(?u)\\b\\w\\w+\\b',
        tokenizer=None, vocabulary=None), 'feature_processing__text_processing__vectorization__stop_words': None, 'classifier__C': 100, 'feature_processing__nontext_processing__selecting__rng': [1, 'end']}";0.015758587931680685
5;0.6494025533259541;100;balanced;[1, 6];"CountVectorizer(analyzer='word', binary=False, decode_error='strict',
        dtype=<class 'numpy.int64'>, encoding='utf-8', input='content',
        lowercase=True, max_df=1.0, max_features=None, min_df=2,
        ngram_range=(1, 1), preprocessor=None, stop_words=None,
        strip_accents=None, token_pattern='(?u)\\b\\w\\w+\\b',
        tokenizer=None, vocabulary=None)";2;(1, 3);;"{'classifier__class_weight': 'balanced', 'feature_processing__text_processing__vectorization__ngram_range': (1, 3), 'feature_processing__text_processing__vectorization__min_df': 2, 'feature_processing__text_processing__vectorization': CountVectorizer(analyzer='word', binary=False, decode_error='strict',
        dtype=<class 'numpy.int64'>, encoding='utf-8', input='content',
        lowercase=True, max_df=1.0, max_features=None, min_df=2,
        ngram_range=(1, 1), preprocessor=None, stop_words=None,
        strip_accents=None, token_pattern='(?u)\\b\\w\\w+\\b',
        tokenizer=None, vocabulary=None), 'feature_processing__text_processing__vectorization__stop_words': None, 'classifier__C': 100, 'feature_processing__nontext_processing__selecting__rng': [1, 6]}";0.011085582149177648
6;0.6478825998601717;100;balanced;[7, 'end'];"CountVectorizer(analyzer='word', binary=False, decode_error='strict',
        dtype=<class 'numpy.int64'>, encoding='utf-8', input='content',
        lowercase=True, max_df=1.0, max_features=None, min_df=2,
        ngram_range=(1, 1), preprocessor=None, stop_words=None,
        strip_accents=None, token_pattern='(?u)\\b\\w\\w+\\b',
        tokenizer=None, vocabulary=None)";2;(1, 2);;"{'classifier__class_weight': 'balanced', 'feature_processing__text_processing__vectorization__ngram_range': (1, 2), 'feature_processing__text_processing__vectorization__min_df': 2, 'feature_processing__text_processing__vectorization': CountVectorizer(analyzer='word', binary=False, decode_error='strict',
        dtype=<class 'numpy.int64'>, encoding='utf-8', input='content',
        lowercase=True, max_df=1.0, max_features=None, min_df=2,
        ngram_range=(1, 1), preprocessor=None, stop_words=None,
        strip_accents=None, token_pattern='(?u)\\b\\w\\w+\\b',
        tokenizer=None, vocabulary=None), 'feature_processing__text_processing__vectorization__stop_words': None, 'classifier__C': 100, 'feature_processing__nontext_processing__selecting__rng': [7, 'end']}";0.01725089967206508
7;0.642736982390564;100;balanced;[1, 6];"CountVectorizer(analyzer='word', binary=False, decode_error='strict',
        dtype=<class 'numpy.int64'>, encoding='utf-8', input='content',
        lowercase=True, max_df=1.0, max_features=None, min_df=1,
        ngram_range=(1, 1), preprocessor=None, stop_words=None,
        strip_accents=None, token_pattern='(?u)\\b\\w\\w+\\b',
        tokenizer=None, vocabulary=None)";1;(1, 1);['москва', 'россия', 'сша', 'украина', 'евросоюз', 'петербург', 'фанпромывший', 'крым', 'самар', 'краснодар', 'новосибирск', 'казань', 'екатеринбург', 'сочи', 'тюмень', 'иркутск', 'пермь', 'омск', 'ярославль', 'хабаровск', 'новгород', 'ижевск', 'украинский', 'волгоград', 'ростов', 'калининград', 'уфа', 'тула', 'воронеж', 'саратов', 'чебоксары', 'нижний новгород', 'дон', 'красноярск', 'киров', 'ульяновск', 'кемерово', 'запад', 'оренбург', 'куда', 'ставрополь', 'кострома', 'пенза', 'смоленск', 'вологда', 'тольятти', 'томск', 'мурманск', 'армения', 'пара', 'чита', 'липецк', 'барнаул', 'магнитогорск', 'приморье', 'сибирь', 'челябинск', 'владимир', 'сургут', 'европа', 'минск', 'дагестан', 'белгород', 'канада', 'кампания', 'саранск', 'киев', 'рязань', 'красноярский край', 'новокузнецк', 'псков', 'греция', 'тагил', 'анапа', 'луганск', 'донецк', 'колл', 'нижний тагил', 'раменское', 'амкара', 'котор', 'череповец', 'пушкино', 'тверь', 'бурятия', 'брянск', 'нальчик', 'петрозаводск', 'подмосковье', 'курган', 'аскольд', 'великий новгород', 'меркурий', 'кубань', 'беларусь', 'калуга', 'якутск', 'иран', 'татарстан', 'парнас', 'ямал', 'курск', 'восток', 'башкирия', 'южный сахалинск', 'ангарск', 'азербайджан', 'сахалинск', 'банкмосква', 'иваново', 'краснодарский край', 'фанпромой', 'урал', 'владивосток', 'орск', 'удмуртия', 'арзамас', 'волжский', 'лондон', 'уссурийск', 'весь россия', 'ухта', 'тверская', 'волгодонск', 'тамбов', 'око', 'город кемерово', 'артём', 'благовещенск', 'брюссель', 'белоруссия', 'грозный', 'вена', 'вашингтон', 'архангельск', 'югра', 'серпухов', 'чувашия', 'миасс', 'химки', 'который евросоюз', 'николаев', 'сыктывкар', 'камчатка', 'энгельс', 'китай', 'казахстан', 'стерлитамак', 'всеволожск', 'владикавказ', 'судженск', 'павлиное', 'новограда', 'корп', 'коми', 'старый оскол', 'усинск', 'каменск', 'онега', 'мытищи', 'пермский край', 'приозерск', 'различ', 'ртищево', 'оскол', 'российск', 'дальний восток', 'тобольск', 'ботлихский район', 'харьков', 'анжеро', 'орёл', 'запорожье', 'находка', 'чехия', 'прага', 'саянск', 'магадан', 'город россия', 'сума', 'лабинск', 'мошейничествочер', 'город москва', 'зеленоград', 'атба', 'геленджик', 'байкал', 'альметьевск', 'ачинск', 'госуслуга', 'ужгород', 'шотландия', 'город можга', 'нефтекамск', 'новокуйбышевск', 'кавказ', 'вебманя', 'балашиха', 'сцукое', 'грузия', 'севастополь', 'оленегорск', 'хакасия', 'новороссийск', 'петропавловск', 'недвиж', 'россельхое', 'микро', 'хорватия', 'абакан', 'турция', 'калининский район', 'таганрог', 'америка', 'конаково', 'восколько', 'курашов', 'забайкалье', 'хабаровский край', 'детский реаба', 'мрск', 'сахалин', 'витебск', 'мансийск', 'бийск', 'кировский район', 'ленобласть', 'твибанда', 'реаба', 'калачинск', 'астан', 'питер', 'кузбасс', 'житомир', 'опра', 'балаково', 'спонсировавший', 'город ижевск', 'виктория', 'адмиралтейский район', 'обнинск', 'поволжье', 'зюзино', 'доминикана', 'махачкала', 'город спасск', 'ютэйр', 'пров', 'болгария', 'трансэарое', 'вязники', 'люксембург', 'черкесск', 'германия', 'альфа', 'альфабанк', 'альфа банк', 'банк москвы', 'банк москва', 'рсхб', 'россельхозбанк', 'россельхоз банк', 'банк', 'банка', 'втб', 'райффайзенбанк', 'райфайзенбанк', 'райффайзен банк', 'райффайзен', 'райфайзен', 'сбербанк', 'сбер', 'газпром', 'газпромбанк', 'северо', 'запад', 'уралсиб', 'открытый акционерный общество', 'филиал'];"{'classifier__class_weight': 'balanced', 'feature_processing__text_processing__vectorization__ngram_range': (1, 1), 'feature_processing__text_processing__vectorization__min_df': 1, 'feature_processing__text_processing__vectorization': CountVectorizer(analyzer='word', binary=False, decode_error='strict',
        dtype=<class 'numpy.int64'>, encoding='utf-8', input='content',
        lowercase=True, max_df=1.0, max_features=None, min_df=1,
        ngram_range=(1, 1), preprocessor=None, stop_words=None,
        strip_accents=None, token_pattern='(?u)\\b\\w\\w+\\b',
        tokenizer=None, vocabulary=None), 'feature_processing__text_processing__vectorization__stop_words': ['москва', 'россия', 'сша', 'украина', 'евросоюз', 'петербург', 'фанпромывший', 'крым', 'самар', 'краснодар', 'новосибирск', 'казань', 'екатеринбург', 'сочи', 'тюмень', 'иркутск', 'пермь', 'омск', 'ярославль', 'хабаровск', 'новгород', 'ижевск', 'украинский', 'волгоград', 'ростов', 'калининград', 'уфа', 'тула', 'воронеж', 'саратов', 'чебоксары', 'нижний новгород', 'дон', 'красноярск', 'киров', 'ульяновск', 'кемерово', 'запад', 'оренбург', 'куда', 'ставрополь', 'кострома', 'пенза', 'смоленск', 'вологда', 'тольятти', 'томск', 'мурманск', 'армения', 'пара', 'чита', 'липецк', 'барнаул', 'магнитогорск', 'приморье', 'сибирь', 'челябинск', 'владимир', 'сургут', 'европа', 'минск', 'дагестан', 'белгород', 'канада', 'кампания', 'саранск', 'киев', 'рязань', 'красноярский край', 'новокузнецк', 'псков', 'греция', 'тагил', 'анапа', 'луганск', 'донецк', 'колл', 'нижний тагил', 'раменское', 'амкара', 'котор', 'череповец', 'пушкино', 'тверь', 'бурятия', 'брянск', 'нальчик', 'петрозаводск', 'подмосковье', 'курган', 'аскольд', 'великий новгород', 'меркурий', 'кубань', 'беларусь', 'калуга', 'якутск', 'иран', 'татарстан', 'парнас', 'ямал', 'курск', 'восток', 'башкирия', 'южный сахалинск', 'ангарск', 'азербайджан', 'сахалинск', 'банкмосква', 'иваново', 'краснодарский край', 'фанпромой', 'урал', 'владивосток', 'орск', 'удмуртия', 'арзамас', 'волжский', 'лондон', 'уссурийск', 'весь россия', 'ухта', 'тверская', 'волгодонск', 'тамбов', 'око', 'город кемерово', 'артём', 'благовещенск', 'брюссель', 'белоруссия', 'грозный', 'вена', 'вашингтон', 'архангельск', 'югра', 'серпухов', 'чувашия', 'миасс', 'химки', 'который евросоюз', 'николаев', 'сыктывкар', 'камчатка', 'энгельс', 'китай', 'казахстан', 'стерлитамак', 'всеволожск', 'владикавказ', 'судженск', 'павлиное', 'новограда', 'корп', 'коми', 'старый оскол', 'усинск', 'каменск', 'онега', 'мытищи', 'пермский край', 'приозерск', 'различ', 'ртищево', 'оскол', 'российск', 'дальний восток', 'тобольск', 'ботлихский район', 'харьков', 'анжеро', 'орёл', 'запорожье', 'находка', 'чехия', 'прага', 'саянск', 'магадан', 'город россия', 'сума', 'лабинск', 'мошейничествочер', 'город москва', 'зеленоград', 'атба', 'геленджик', 'байкал', 'альметьевск', 'ачинск', 'госуслуга', 'ужгород', 'шотландия', 'город можга', 'нефтекамск', 'новокуйбышевск', 'кавказ', 'вебманя', 'балашиха', 'сцукое', 'грузия', 'севастополь', 'оленегорск', 'хакасия', 'новороссийск', 'петропавловск', 'недвиж', 'россельхое', 'микро', 'хорватия', 'абакан', 'турция', 'калининский район', 'таганрог', 'америка', 'конаково', 'восколько', 'курашов', 'забайкалье', 'хабаровский край', 'детский реаба', 'мрск', 'сахалин', 'витебск', 'мансийск', 'бийск', 'кировский район', 'ленобласть', 'твибанда', 'реаба', 'калачинск', 'астан', 'питер', 'кузбасс', 'житомир', 'опра', 'балаково', 'спонсировавший', 'город ижевск', 'виктория', 'адмиралтейский район', 'обнинск', 'поволжье', 'зюзино', 'доминикана', 'махачкала', 'город спасск', 'ютэйр', 'пров', 'болгария', 'трансэарое', 'вязники', 'люксембург', 'черкесск', 'германия', 'альфа', 'альфабанк', 'альфа банк', 'банк москвы', 'банк москва', 'рсхб', 'россельхозбанк', 'россельхоз банк', 'банк', 'банка', 'втб', 'райффайзенбанк', 'райфайзенбанк', 'райффайзен банк', 'райффайзен', 'райфайзен', 'сбербанк', 'сбер', 'газпром', 'газпромбанк', 'северо', 'запад', 'уралсиб', 'открытый акционерный общество', 'филиал'], 'classifier__C': 100, 'feature_processing__nontext_processing__selecting__rng': [1, 6]}";0.017696683789130287
8;0.6408973553931606;100;balanced;[1, 'end'];"CountVectorizer(analyzer='word', binary=False, decode_error='strict',
        dtype=<class 'numpy.int64'>, encoding='utf-8', input='content',
        lowercase=True, max_df=1.0, max_features=None, min_df=1,
        ngram_range=(1, 1), preprocessor=None, stop_words=None,
        strip_accents=None, token_pattern='(?u)\\b\\w\\w+\\b',
        tokenizer=None, vocabulary=None)";1;(1, 1);['москва', 'россия', 'сша', 'украина', 'евросоюз', 'петербург', 'фанпромывший', 'крым', 'самар', 'краснодар', 'новосибирск', 'казань', 'екатеринбург', 'сочи', 'тюмень', 'иркутск', 'пермь', 'омск', 'ярославль', 'хабаровск', 'новгород', 'ижевск', 'украинский', 'волгоград', 'ростов', 'калининград', 'уфа', 'тула', 'воронеж', 'саратов', 'чебоксары', 'нижний новгород', 'дон', 'красноярск', 'киров', 'ульяновск', 'кемерово', 'запад', 'оренбург', 'куда', 'ставрополь', 'кострома', 'пенза', 'смоленск', 'вологда', 'тольятти', 'томск', 'мурманск', 'армения', 'пара', 'чита', 'липецк', 'барнаул', 'магнитогорск', 'приморье', 'сибирь', 'челябинск', 'владимир', 'сургут', 'европа', 'минск', 'дагестан', 'белгород', 'канада', 'кампания', 'саранск', 'киев', 'рязань', 'красноярский край', 'новокузнецк', 'псков', 'греция', 'тагил', 'анапа', 'луганск', 'донецк', 'колл', 'нижний тагил', 'раменское', 'амкара', 'котор', 'череповец', 'пушкино', 'тверь', 'бурятия', 'брянск', 'нальчик', 'петрозаводск', 'подмосковье', 'курган', 'аскольд', 'великий новгород', 'меркурий', 'кубань', 'беларусь', 'калуга', 'якутск', 'иран', 'татарстан', 'парнас', 'ямал', 'курск', 'восток', 'башкирия', 'южный сахалинск', 'ангарск', 'азербайджан', 'сахалинск', 'банкмосква', 'иваново', 'краснодарский край', 'фанпромой', 'урал', 'владивосток', 'орск', 'удмуртия', 'арзамас', 'волжский', 'лондон', 'уссурийск', 'весь россия', 'ухта', 'тверская', 'волгодонск', 'тамбов', 'око', 'город кемерово', 'артём', 'благовещенск', 'брюссель', 'белоруссия', 'грозный', 'вена', 'вашингтон', 'архангельск', 'югра', 'серпухов', 'чувашия', 'миасс', 'химки', 'который евросоюз', 'николаев', 'сыктывкар', 'камчатка', 'энгельс', 'китай', 'казахстан', 'стерлитамак', 'всеволожск', 'владикавказ', 'судженск', 'павлиное', 'новограда', 'корп', 'коми', 'старый оскол', 'усинск', 'каменск', 'онега', 'мытищи', 'пермский край', 'приозерск', 'различ', 'ртищево', 'оскол', 'российск', 'дальний восток', 'тобольск', 'ботлихский район', 'харьков', 'анжеро', 'орёл', 'запорожье', 'находка', 'чехия', 'прага', 'саянск', 'магадан', 'город россия', 'сума', 'лабинск', 'мошейничествочер', 'город москва', 'зеленоград', 'атба', 'геленджик', 'байкал', 'альметьевск', 'ачинск', 'госуслуга', 'ужгород', 'шотландия', 'город можга', 'нефтекамск', 'новокуйбышевск', 'кавказ', 'вебманя', 'балашиха', 'сцукое', 'грузия', 'севастополь', 'оленегорск', 'хакасия', 'новороссийск', 'петропавловск', 'недвиж', 'россельхое', 'микро', 'хорватия', 'абакан', 'турция', 'калининский район', 'таганрог', 'америка', 'конаково', 'восколько', 'курашов', 'забайкалье', 'хабаровский край', 'детский реаба', 'мрск', 'сахалин', 'витебск', 'мансийск', 'бийск', 'кировский район', 'ленобласть', 'твибанда', 'реаба', 'калачинск', 'астан', 'питер', 'кузбасс', 'житомир', 'опра', 'балаково', 'спонсировавший', 'город ижевск', 'виктория', 'адмиралтейский район', 'обнинск', 'поволжье', 'зюзино', 'доминикана', 'махачкала', 'город спасск', 'ютэйр', 'пров', 'болгария', 'трансэарое', 'вязники', 'люксембург', 'черкесск', 'германия', 'альфа', 'альфабанк', 'альфа банк', 'банк москвы', 'банк москва', 'рсхб', 'россельхозбанк', 'россельхоз банк', 'банк', 'банка', 'втб', 'райффайзенбанк', 'райфайзенбанк', 'райффайзен банк', 'райффайзен', 'райфайзен', 'сбербанк', 'сбер', 'газпром', 'газпромбанк', 'северо', 'запад', 'уралсиб', 'открытый акционерный общество', 'филиал'];"{'classifier__class_weight': 'balanced', 'feature_processing__text_processing__vectorization__ngram_range': (1, 1), 'feature_processing__text_processing__vectorization__min_df': 1, 'feature_processing__text_processing__vectorization': CountVectorizer(analyzer='word', binary=False, decode_error='strict',
        dtype=<class 'numpy.int64'>, encoding='utf-8', input='content',
        lowercase=True, max_df=1.0, max_features=None, min_df=1,
        ngram_range=(1, 1), preprocessor=None, stop_words=None,
        strip_accents=None, token_pattern='(?u)\\b\\w\\w+\\b',
        tokenizer=None, vocabulary=None), 'feature_processing__text_processing__vectorization__stop_words': ['москва', 'россия', 'сша', 'украина', 'евросоюз', 'петербург', 'фанпромывший', 'крым', 'самар', 'краснодар', 'новосибирск', 'казань', 'екатеринбург', 'сочи', 'тюмень', 'иркутск', 'пермь', 'омск', 'ярославль', 'хабаровск', 'новгород', 'ижевск', 'украинский', 'волгоград', 'ростов', 'калининград', 'уфа', 'тула', 'воронеж', 'саратов', 'чебоксары', 'нижний новгород', 'дон', 'красноярск', 'киров', 'ульяновск', 'кемерово', 'запад', 'оренбург', 'куда', 'ставрополь', 'кострома', 'пенза', 'смоленск', 'вологда', 'тольятти', 'томск', 'мурманск', 'армения', 'пара', 'чита', 'липецк', 'барнаул', 'магнитогорск', 'приморье', 'сибирь', 'челябинск', 'владимир', 'сургут', 'европа', 'минск', 'дагестан', 'белгород', 'канада', 'кампания', 'саранск', 'киев', 'рязань', 'красноярский край', 'новокузнецк', 'псков', 'греция', 'тагил', 'анапа', 'луганск', 'донецк', 'колл', 'нижний тагил', 'раменское', 'амкара', 'котор', 'череповец', 'пушкино', 'тверь', 'бурятия', 'брянск', 'нальчик', 'петрозаводск', 'подмосковье', 'курган', 'аскольд', 'великий новгород', 'меркурий', 'кубань', 'беларусь', 'калуга', 'якутск', 'иран', 'татарстан', 'парнас', 'ямал', 'курск', 'восток', 'башкирия', 'южный сахалинск', 'ангарск', 'азербайджан', 'сахалинск', 'банкмосква', 'иваново', 'краснодарский край', 'фанпромой', 'урал', 'владивосток', 'орск', 'удмуртия', 'арзамас', 'волжский', 'лондон', 'уссурийск', 'весь россия', 'ухта', 'тверская', 'волгодонск', 'тамбов', 'око', 'город кемерово', 'артём', 'благовещенск', 'брюссель', 'белоруссия', 'грозный', 'вена', 'вашингтон', 'архангельск', 'югра', 'серпухов', 'чувашия', 'миасс', 'химки', 'который евросоюз', 'николаев', 'сыктывкар', 'камчатка', 'энгельс', 'китай', 'казахстан', 'стерлитамак', 'всеволожск', 'владикавказ', 'судженск', 'павлиное', 'новограда', 'корп', 'коми', 'старый оскол', 'усинск', 'каменск', 'онега', 'мытищи', 'пермский край', 'приозерск', 'различ', 'ртищево', 'оскол', 'российск', 'дальний восток', 'тобольск', 'ботлихский район', 'харьков', 'анжеро', 'орёл', 'запорожье', 'находка', 'чехия', 'прага', 'саянск', 'магадан', 'город россия', 'сума', 'лабинск', 'мошейничествочер', 'город москва', 'зеленоград', 'атба', 'геленджик', 'байкал', 'альметьевск', 'ачинск', 'госуслуга', 'ужгород', 'шотландия', 'город можга', 'нефтекамск', 'новокуйбышевск', 'кавказ', 'вебманя', 'балашиха', 'сцукое', 'грузия', 'севастополь', 'оленегорск', 'хакасия', 'новороссийск', 'петропавловск', 'недвиж', 'россельхое', 'микро', 'хорватия', 'абакан', 'турция', 'калининский район', 'таганрог', 'америка', 'конаково', 'восколько', 'курашов', 'забайкалье', 'хабаровский край', 'детский реаба', 'мрск', 'сахалин', 'витебск', 'мансийск', 'бийск', 'кировский район', 'ленобласть', 'твибанда', 'реаба', 'калачинск', 'астан', 'питер', 'кузбасс', 'житомир', 'опра', 'балаково', 'спонсировавший', 'город ижевск', 'виктория', 'адмиралтейский район', 'обнинск', 'поволжье', 'зюзино', 'доминикана', 'махачкала', 'город спасск', 'ютэйр', 'пров', 'болгария', 'трансэарое', 'вязники', 'люксембург', 'черкесск', 'германия', 'альфа', 'альфабанк', 'альфа банк', 'банк москвы', 'банк москва', 'рсхб', 'россельхозбанк', 'россельхоз банк', 'банк', 'банка', 'втб', 'райффайзенбанк', 'райфайзенбанк', 'райффайзен банк', 'райффайзен', 'райфайзен', 'сбербанк', 'сбер', 'газпром', 'газпромбанк', 'северо', 'запад', 'уралсиб', 'открытый акционерный общество', 'филиал'], 'classifier__C': 100, 'feature_processing__nontext_processing__selecting__rng': [1, 'end']}";0.017812003094473824
9;0.640279633588659;100;balanced;[1, 6];"CountVectorizer(analyzer='word', binary=False, decode_error='strict',
        dtype=<class 'numpy.int64'>, encoding='utf-8', input='content',
        lowercase=True, max_df=1.0, max_features=None, min_df=1,
        ngram_range=(1, 1), preprocessor=None, stop_words=None,
        strip_accents=None, token_pattern='(?u)\\b\\w\\w+\\b',
        tokenizer=None, vocabulary=None)";1;(1, 1);;"{'classifier__class_weight': 'balanced', 'feature_processing__text_processing__vectorization__ngram_range': (1, 1), 'feature_processing__text_processing__vectorization__min_df': 1, 'feature_processing__text_processing__vectorization': CountVectorizer(analyzer='word', binary=False, decode_error='strict',
        dtype=<class 'numpy.int64'>, encoding='utf-8', input='content',
        lowercase=True, max_df=1.0, max_features=None, min_df=1,
        ngram_range=(1, 1), preprocessor=None, stop_words=None,
        strip_accents=None, token_pattern='(?u)\\b\\w\\w+\\b',
        tokenizer=None, vocabulary=None), 'feature_processing__text_processing__vectorization__stop_words': None, 'classifier__C': 100, 'feature_processing__nontext_processing__selecting__rng': [1, 6]}";0.017872746098479546
